Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot347,"Мирослав Меликов",hard,35,Failed,"Boss Hunter","Spawn Point (-117.6 -14.6 58.7)","1","00:05:49","00:10:53",
Bot348,"Валерий Логинов",hard,34,Failed,"Inventory Check","Zone baraholshik_arsenal_area_5","1","00:05:50","00:09:19",
Bot349,"Ярослав Лобанов",hard,68,Completed,"D2 from Dome","D2 from Dome: Objective #1","1","00:05:51","00:05:56",
Bot349,"Ярослав Лобанов",hard,68,Completed,"D2 from Dome","D2 from Dome: Objective #2","1","00:06:01","00:12:10",
Bot349,"Ярослав Лобанов",hard,68,Failed,"Command Center","Command Center: Objective #2","1","00:12:15","00:13:40",
Bot350,"Харитон Гавриков",hard,31,Failed,"Pest Control","Zone eger_barracks_area_2","1","00:05:52","00:08:07",
Bot351,"Константин Опокин",hard,31,Failed,"Disease History","Item Medical record #2","1","00:05:53","00:06:15",
Bot352,"Тимофей Форопонов",hard,21,Failed,"Disease History","Item Medical record #2","1","00:05:54","00:07:54",
Bot353,"Нестор Аллилуев",hard,45,Completed,"Boss Hunter","Spawn Point (-10.3 -7.0 -186.0)","1","00:05:55","00:08:48",
Bot353,"Нестор Аллилуев",hard,45,Completed,"Boss Hunter","Spawn Point (35.9 -0.3 -189.7)","1","00:08:53","00:12:56",
Bot353,"Нестор Аллилуев",hard,45,Active,"Boss Hunter","Spawn Point (23.5 -5.1 -128.3)","1","00:13:01","N/A",
Bot356,"gamber Jess",hard,39,Failed,"Documents","Item Military documents #1","1","00:05:58","00:06:31",
Bot357,"Abdul Han",hard,52,Failed,"Black Pawn Roof","Black Pawn Roof: Objective #1","2","00:05:59","00:10:52",
Bot361,"Гордей Толстокожев",hard,15,Failed,"Command Center","Command Center: Objective #8","1","00:06:06","00:12:23",
Bot361,"Гордей Толстокожев",hard,15,Failed,"Command Center","Command Center: Objective #7","1","00:12:28","00:15:10",
Bot363,"Родион Бондарев",hard,63,Failed,"D2 Switch","D2 Switch: Objective #1","1","00:06:15","00:09:25",
Bot371,"Захар Енгалычев",hard,18,Failed,"Inventory Check","Zone baraholshik_arsenal_area_1","1","00:07:00","00:19:13",
