Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot60,"Kerry Reichert",hard,12,Completed,"The Delicious Sausage","Zone quest_produkt1","1","21:40:08","21:40:24",
Bot60,"Kerry Reichert",hard,12,Failed,"The Delicious Sausage","Zone quest_produkt3","1","21:40:29","21:49:21",
Bot60,"Kerry Reichert",hard,12,Failed,"Finance Building","Finance Building: Objective #4","1","21:49:26","21:50:04",
Bot61,"Stacey Stickney",hard,36,Failed,"Broadcast - Part 4","Zone quest_zone_c27_sect","1","21:40:11","21:46:25",
Bot62,"Joaquin Gann",hard,40,Failed,"Missing Informant","Item Informant's journal","1","21:40:11","21:47:36",
Bot63,"Willard Lipe",hard,37,Failed,"Debtor","Zone quest_zone_c29_debt","1","21:40:11","21:45:16",
Bot93,"Даниил Лесничий",hard,69,Failed,"Finance Building","Finance Building: Objective #4","1","21:47:02","21:48:30",
Bot94,"Gabriel Cloninger",hard,19,Failed,"Revision - Streets of Tarkov","Zone quest_zone_place_c14_revx_3","1","21:47:18","21:48:27",
Bot94,"Gabriel Cloninger",hard,19,Failed,"Revision - Streets of Tarkov","Zone quest_zone_place_c14_revx_2","1","21:48:32","21:50:05",
Bot95,"Савелий Манторов",hard,31,Failed,"Audit","Item Accountant's notes","1","21:48:25","21:50:44",
Bot99,"Фёдор Гуськов",hard,28,Failed,"Road Closed","Zone quest_zone_c16_koll_2","1","21:50:24","21:53:08",
Bot100,"Huey Mohan",hard,13,Active,"Pets Won't Need It - Part 2","Zone Pharma_1","1","21:50:34","N/A",
Bot101,"Brayden Baumann",hard,15,Pending,"The Door","Zone quest_zone_hide_sillent","1","21:50:36","N/A",
Bot102,"Harland Derosa",hard,40,Pending,"Pyramid Scheme","Zone Bank_points_11","1","21:50:43","N/A",
Bot103,"Douglas Hollaway",hard,18,Active,"Glory to CPSU - Part 1","Zone quest_zone_c6_kpss","1","21:50:54","N/A",
Bot104,"Emile Canchola",hard,27,Pending,"Road Closed","Zone quest_zone_c16_koll_2","1","21:51:15","N/A",
