Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot40,"Ян Полнарёв",normal,4,Failed,"Warehouse 17","Warehouse 17: Objective #1","1","13:37:19","13:38:51",
Bot39,"Давид Рындин",normal,9,Failed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","13:37:19","13:40:55",
Bot41,"Савелий Смешной",normal,12,Completed,"Crackhouse","Crackhouse: Objective #7","1","13:37:19","13:38:13",
Bot41,"Савелий Смешной",normal,12,Completed,"Crackhouse","Crackhouse: Objective #3","1","13:38:18","13:38:23",
Bot41,"Савелий Смешной",normal,12,Completed,"Crackhouse","Crackhouse: Objective #2","1","13:38:28","13:38:38",
Bot41,"Савелий Смешной",normal,12,Completed,"Crackhouse","Crackhouse: Objective #4","1","13:38:43","13:39:09",
Bot41,"Савелий Смешной",normal,12,Completed,"Crackhouse","Crackhouse: Objective #1","1","13:39:14","13:40:04",
Bot41,"Савелий Смешной",normal,12,Completed,"Crackhouse","Crackhouse: Objective #5","1","13:40:09","13:41:43",
Bot41,"Савелий Смешной",normal,12,Completed,"Crackhouse","Crackhouse: Objective #6","2","13:41:48","13:43:05",
Bot41,"Савелий Смешной",normal,12,Failed,"BP Depot","Zone fuel2","1","13:43:10","13:44:09",
Bot41,"Савелий Смешной",normal,12,Active,"BP Depot","Zone fuel3","1","13:44:14","N/A",
Bot38,"Ярослав Брызгалов",normal,7,Failed,"Big Red Rush","Big Red Rush: Objective #1","1","13:37:19","13:43:09",
Bot50,"Денис Семёнов",normal,8,Failed,"BP Depot","Zone fuel4","1","13:37:20","13:41:15",
Bot37,"Георгий Аксёнов",normal,22,Failed,"Farming - Part 3","Item Package of graphics cards","1","13:37:20","13:39:47",
Bot48,"Игнат Белочкин",normal,1,Failed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","13:37:20","13:38:22",
Bot49,"Клим Степанов",normal,7,Failed,"BP Depot","Zone fuel4","1","13:37:20","13:40:01",
Bot51,"Мирослав Ибрагимов",normal,12,Failed,"Delivery From the Past","Item Secure Folder 0022","1","13:37:20","13:40:19",
