Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot4,"Бронислав Гулин",normal,11,Failed,"BP Depot","Zone fuel4","1","13:25:54","13:27:09",
Bot9,"Ян Пашин",normal,13,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","13:25:55","13:28:35",
Bot9,"Ян Пашин",normal,13,Active,"Tigr Safari","Zone place_peacemaker_002_N1","1","13:28:40","N/A",
Bot2,"Марк Юшков",normal,11,Failed,"The Extortionist","Zone dead_posylni","1","13:25:55","13:29:19",
Bot6,"Cesar Monsen",normal,6,Pending,"Big Red","Big Red: Objective #2","1","13:25:55","N/A",
Bot8,"Hugh Veal",normal,13,Active,"The Extortionist","Zone dead_posylni","1","13:25:55","N/A",
Bot3,"Михей Минкин",normal,15,Failed,"Delivery From the Past","Item Secure Folder 0022","1","13:25:55","13:26:07",
Bot10,"Георгий Винокуров",normal,11,Pending,"The Extortionist","Zone dead_posylni","1","13:25:55","N/A",
Bot7,"Dino Masuda",normal,10,Pending,"Delivery From the Past","Item Secure Folder 0022","1","13:25:55","N/A",
Bot5,"Cletus Bahe",normal,1,Failed,"Big Red Rush","Big Red Rush: Objective #1","1","13:25:55","13:27:39",
