Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Dominick Gregor",easy,35,Failed,"Crackhouse Rush","Crackhouse Rush: Objective #1","1","19:58:11","20:05:59",
Bot2,"Dominick Gregor",easy,35,Completed,"Giving Tree","Giving Tree: Objective #1","1","19:58:37","20:00:58",
Bot2,"Dominick Gregor",easy,35,Completed,"Boss Hunter","Spawn Point (255.5 1.2 -108.4)","1","20:01:03","20:01:27",
Bot2,"Dominick Gregor",easy,35,Completed,"Boss Hunter","Spawn Point (208.2 1.8 -116.9)","1","20:01:32","20:01:47",
Bot2,"Dominick Gregor",easy,35,Completed,"Boss Hunter","Spawn Point (195.1 1.5 -170.1)","1","20:01:52","20:02:28",
Bot2,"Dominick Gregor",easy,35,Completed,"Boss Hunter","Spawn Point (252.2 1.2 -108.5)","1","20:02:33","20:03:08",
Bot2,"Dominick Gregor",easy,35,Completed,"Boss Hunter","Spawn Point (195.3 1.8 -126.1)","1","20:03:14","20:03:27",
Bot2,"Dominick Gregor",easy,35,Completed,"Boss Hunter","Spawn Point (260.3 1.2 -91.1)","1","20:03:32","20:04:00",
Bot2,"Dominick Gregor",easy,35,Failed,"Boss Hunter","Spawn Point (255.2 53.4 -27.0)","1","20:04:05","20:04:22",
Bot2,"Dominick Gregor",easy,35,Completed,"Boss Hunter","Spawn Point (226.0 1.1 -80.7)","1","20:04:27","20:05:14",
Bot2,"Dominick Gregor",easy,35,Completed,"Boss Hunter","Spawn Point (133.8 1.7 -82.0)","1","20:05:19","20:05:50",
Bot2,"Dominick Gregor",easy,35,Failed,"Boss Hunter","Spawn Point (227.9 1.3 -86.4)","1","20:05:55","20:05:59",
Bot3,"Shannon Marti",easy,66,Failed,"Boss Hunter","Spawn Point (20.1 1.1 -115.5)","1","19:58:12","20:00:05",
Bot4,"Ignacio Lieu",easy,43,Failed,"Crackhouse Rush","Crackhouse Rush: Objective #1","1","19:58:13","19:59:53",
Bot5,"Эдуард Жёнов",normal,39,Failed,"Big Red","Big Red: Objective #4","1","19:58:14","19:58:39",
Bot5,"Эдуард Жёнов",normal,39,Failed,"Big Red","Big Red: Objective #5","1","19:58:44","20:00:27",
Bot6,"Никита Куклачёв",normal,40,Failed,"Bullshit","Item Flash drive with fake info","1","19:58:15","20:01:03",
Bot7,"Игорь Медников",normal,35,Failed,"Big Red Rush","Big Red Rush: Objective #1","1","19:58:16","19:59:52",
Bot8,"Олег Сутулин",normal,18,Failed,"Farming - Part 3","Item Package of graphics cards","1","19:58:17","20:01:35",
Bot9,"Демид Жестоков",normal,62,Failed,"Big Red Rush","Big Red Rush: Objective #1","1","19:58:18","19:59:58",
Bot10,"Иван Чубаров",normal,18,Completed,"Farming - Part 3","Zone place_SADOVOD_03","1","19:58:19","20:03:28",
Bot10,"Иван Чубаров",normal,18,Failed,"Farming - Part 3","Item Package of graphics cards","1","20:03:33","20:04:19",
Bot11,"Захар Киселев",normal,25,Completed,"Storage","Storage: Objective #5","1","19:58:20","19:58:22",
Bot11,"Захар Киселев",normal,25,Completed,"Storage","Storage: Objective #4","1","19:58:27","20:06:47",
Bot11,"Захар Киселев",normal,25,Completed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","20:06:52","20:08:03",
Bot11,"Захар Киселев",normal,25,Completed,"Big Red","Big Red: Objective #3","1","20:08:08","20:10:02",
Bot11,"Захар Киселев",normal,25,Failed,"Big Red","Big Red: Objective #2","1","20:10:07","20:10:08",
Bot31,"Arturo Mitzel",hard,39,Completed,"Old Gas","Old Gas: Objective #2","1","20:03:16","20:04:06",
Bot31,"Arturo Mitzel",hard,39,Completed,"Old Gas","Old Gas: Objective #1","1","20:04:11","20:04:30",
Bot31,"Arturo Mitzel",hard,39,Completed,"Giving Tree","Giving Tree: Objective #1","1","20:04:36","20:04:49",
Bot31,"Arturo Mitzel",hard,39,Failed,"Fortress","Fortress: Objective #5","1","20:04:54","20:07:54",
Bot32,"Bud Mabon",hard,68,Failed,"Short Cut","Short Cut: Objective #1","1","20:03:17","20:05:58",
Bot33,"Blake Edie",hard,33,Failed,"Warehouse 4","Warehouse 4: Objective #1","1","20:03:17","20:07:51",
Bot34,"Lanny Bufford",hard,21,Failed,"Cargo X - Part 2","Item Secure Folder 0013","1","20:03:18","20:07:09",
Bot36,"Никита Коченков",easy,38,Completed,"Chumming","Zone place_skier_12_2","2","20:03:22","20:08:21",
Bot36,"Никита Коченков",easy,38,Failed,"Bullshit","Item Flash drive with fake info","1","20:08:26","20:11:09",
Bot37,"Тихон Логинов",easy,35,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","20:03:22","20:11:36",
Bot38,"Hosea Haught",hard,58,Completed,"Big Red","Big Red: Objective #3","1","20:03:23","20:06:31",
Bot38,"Hosea Haught",hard,58,Completed,"Big Red","Big Red: Objective #2","1","20:06:36","20:06:58",
Bot38,"Hosea Haught",hard,58,Failed,"Big Red","Big Red: Objective #5","1","20:07:03","20:07:13",
Bot38,"Hosea Haught",hard,58,Completed,"Big Red","Big Red: Objective #1","1","20:07:18","20:07:59",
Bot38,"Hosea Haught",hard,58,Failed,"Big Red","Big Red: Objective #4","1","20:08:04","20:08:47",
Bot39,"Jeffry Lemire",hard,35,Pending,"Bullshit","Item Flash drive with fake info","1","20:03:24","N/A",
