Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot109,"Прохор Зубков",hard,12,Completed,"Pets Won't Need It - Part 2","Zone Pharma_2","1","22:05:03","22:07:57",
Bot109,"Прохор Зубков",hard,12,Completed,"Pets Won't Need It - Part 2","Zone Pharma_1","1","22:08:02","22:11:14",
Bot109,"Прохор Зубков",hard,12,Active,"Pets Won't Need It - Part 2","Zone Pharma_3","1","22:11:19","N/A",
Bot110,"Антон Миньковский",hard,41,Pending,"Developer's Secrets - Part 2","Zone Hookah_quest","1","22:05:04","N/A",
Bot111,"Всеслав Курганов",hard,10,Pending,"Nikitskaya 6","Nikitskaya 6: Objective #7","1","22:05:05","N/A",
Bot112,"Демиан Золин",hard,13,Pending,"Shestyorochka","Shestyorochka: Objective #2","1","22:05:06","N/A",
Bot131,"Мартын Леонидов",hard,24,Failed,"Population Census","Item Housing office journal","1","22:05:45","22:07:06",
Bot134,"Игнатий Алогрин",hard,26,Failed,"Watching You","Item Flash drive with recordings","1","22:05:54","22:06:15",
Bot139,"Демиан Сычкин",hard,35,Failed,"Watching You","Item Flash drive with recordings","1","22:06:04","22:06:15",
