Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot187,"Антип Буров",hard,40,Failed,"Informed Means Armed","Zone place_skier_11_3","1","22:48:46","22:50:45",
Bot188,"Вадим Богомолов",hard,35,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","22:48:48","22:51:54",
Bot188,"Вадим Богомолов",hard,35,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_1","1","22:51:59","22:56:02",
Bot189,"Артём Опокин",hard,37,Completed,"Railway Stashes","Railway Stashes: Objective #4","1","22:48:48","22:48:58",
Bot190,"Елисей Петухов",hard,11,Completed,"Railway Stashes","Railway Stashes: Objective #4","1","22:48:49","22:48:59",
Bot190,"Елисей Петухов",hard,11,Failed,"Railway Stashes","Railway Stashes: Objective #5","1","22:50:45","22:51:13",
Bot191,"Демиан Никифоров",hard,64,Failed,"Mantis","Mantis: Objective #2","1","22:48:52","22:50:41",
Bot192,"Winfred Hullinger",hard,40,Failed,"Informed Means Armed","Zone place_skier_11_3","1","22:48:52","22:52:41",
Bot193,"Hobert Outten",hard,38,Failed,"Railway Area","Railway Area: Objective #1","1","22:48:52","22:50:57",
Bot194,"Виталлий Букин",hard,12,Completed,"Goshan North Office","Goshan North Office: Objective #2","1","22:48:54","22:51:45",
Bot194,"Виталлий Букин",hard,12,Completed,"Goshan North Office","Goshan North Office: Objective #1","3","22:51:51","22:52:35",
Bot194,"Виталлий Букин",hard,12,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","4","22:52:40","22:56:34",
Bot194,"Виталлий Букин",hard,12,Failed,"Goshan Food Spawns","Goshan Food Spawns: Objective #2","4","22:56:39","22:59:04",
Bot195,"Альберт Майсак",hard,39,Failed,"Hot Delivery","Zone place_merch_020_1","1","22:48:54","23:01:18",
Bot206,"Danilo Dear",hard,21,Completed,"Big Sale","Zone place_SALE_03_AVOKADO","1","22:53:46","22:54:27",
Bot206,"Danilo Dear",hard,21,Completed,"Big Sale","Zone place_SALE_03_TOPBRAND","1","22:54:32","22:57:05",
Bot206,"Danilo Dear",hard,21,Completed,"Big Sale","Zone place_SALE_03_DINO","1","22:57:10","22:58:48",
Bot206,"Danilo Dear",hard,21,Completed,"Big Sale","Zone place_SALE_03_TREND","1","22:58:53","22:59:07",
Bot206,"Danilo Dear",hard,21,Failed,"Big Sale","Zone place_SALE_03_KOSTIN","1","22:59:13","23:00:34",
Bot207,"Dirk Belair",hard,36,Failed,"The Key to Success","Item Clothes design handbook - Part 1","1","22:53:47","23:00:04",
Bot208,"Sherwood Manion",hard,19,Failed,"Big Sale","Zone place_SALE_03_AVOKADO","1","22:53:51","22:56:46",
Bot209,"Lonny Gean",hard,46,Failed,"Vitamins - Part 1","Item Chemical container #3","1","22:54:08","22:58:27",
Bot210,"Cyrus Alt",hard,38,Failed,"Hot Delivery","Zone place_merch_020_2","1","22:54:20","22:58:12",
Bot211,"Del Kneeland",hard,35,Failed,"Hot Delivery","Zone place_merch_020_2","1","22:54:46","22:56:01",
Bot212,"Олег Рудавин",hard,25,Failed,"Minibus","Zone place_merch_21_3","1","22:57:16","23:05:15",
Bot213,"Герасим Снетков",hard,59,Failed,"OLI Showroom Center","OLI Showroom Center: Objective #1","1","22:57:19","23:01:15",
Bot214,"Харитон Шихранов",hard,12,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","4","22:57:27","22:59:26",
Bot214,"Харитон Шихранов",hard,12,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #2","4","22:59:31","23:01:03",
Bot214,"Харитон Шихранов",hard,12,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #1","4","23:01:08","23:02:00",
Bot214,"Харитон Шихранов",hard,12,Completed,"Mantis","Mantis: Objective #1","1","23:02:05","23:04:42",
Bot214,"Харитон Шихранов",hard,12,Completed,"Mantis","Mantis: Objective #4","1","23:04:48","23:05:25",
Bot214,"Харитон Шихранов",hard,12,Failed,"Mantis","Mantis: Objective #3","1","23:05:30","23:06:22",
Bot215,"Reynaldo Baillargeon",hard,13,Completed,"OLI Loading Dock Stashes","OLI Loading Dock Stashes: Objective #3","1","22:58:57","23:04:39",
Bot215,"Reynaldo Baillargeon",hard,13,Failed,"OLI Loading Dock Stashes","OLI Loading Dock Stashes: Objective #2","1","23:04:44","23:08:51",
Bot216,"Jimmie Leppert",hard,21,Failed,"KIBA","KIBA: Objective #1","1","22:59:00","23:09:51",
Bot217,"Jere Litten",hard,36,Failed,"The Key to Success","Item Clothes design handbook - Part 2","1","22:59:01","23:05:57",
Bot218,"Guy Durgin",hard,29,Failed,"Informed Means Armed","Zone place_skier_11_3","1","22:59:08","23:02:22",
Bot223,"Владислав Твардовский",hard,16,Completed,"Techlight","Techlight: Objective #1","3","23:02:08","23:02:44",
Bot223,"Владислав Твардовский",hard,16,Failed,"Techlight","Techlight: Objective #2","3","23:02:49","23:06:52",
Bot224,"Данила Бокарёв",hard,35,Failed,"Big Sale","Zone place_SALE_03_TOPBRAND","1","23:02:14","23:08:31",
Bot225,"Пахом Дульцев",hard,35,Failed,"Database - Part 1","Item OLI cargo manifests","1","23:02:16","23:10:11",
Bot226,"Геннадий Скрябин",hard,18,Failed,"Database - Part 1","Item OLI cargo manifests","1","23:02:19","23:03:33",
Bot227,"Александр Ловзанский",hard,39,Failed,"Provocation","Zone quest_zone_keeper6_safe_hide","1","23:02:26","23:04:31",
Bot235,"Tyrell Willhite",hard,39,Active,"TEXHO","TEXHO: Objective #2","1","23:05:30","N/A",
Bot237,"Герасим Зонов",hard,32,Active,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","1","23:06:26","N/A",
Bot238,"Тарас Волосенков",hard,45,Failed,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","1","23:06:28","23:10:39",
Bot240,"Корнил Тарновецкий",hard,35,Failed,"Safe Room Area","Safe Room Area: Objective #2","1","23:09:01","23:09:02",
Bot240,"Корнил Тарновецкий",hard,35,Active,"KIBA","KIBA: Objective #1","1","23:09:07","N/A",
Bot241,"Борис Илюшин",hard,39,Pending,"Goshan Lockers","Goshan Lockers: Objective #1","1","23:09:02","N/A",
Bot242,"Тихон Ларин",hard,13,Failed,"OLI Back Storage","OLI Back Storage: Objective #1","1","23:09:10","23:09:11",
Bot242,"Тихон Ларин",hard,13,Failed,"OLI Back Storage","OLI Back Storage: Objective #2","1","23:09:16","23:10:14",
Bot242,"Тихон Ларин",hard,13,Active,"Generic","Generic: Objective #3","1","23:10:19","N/A",
Bot243,"Василий Сахаров",hard,13,Pending,"OLI Logistics Back Offices","OLI Logistics Back Offices: Objective #1","1","23:09:14","N/A",
Bot244,"Виктор Зёмин",hard,67,Pending,"OLI Loading Dock Stashes","OLI Loading Dock Stashes: Objective #3","1","23:09:19","N/A",
Bot246,"Алексей Мирохин",hard,41,Active,"KIBA","KIBA: Objective #1","2","23:10:36","N/A",
