Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot300,"Роман Аленин",hard,35,Completed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","23:15:46","23:15:57",
Bot300,"Роман Аленин",hard,35,Completed,"Storage","Storage: Objective #1","1","23:16:02","23:17:41",
Bot300,"Роман Аленин",hard,35,Failed,"Storage","Storage: Objective #2","1","23:17:47","23:20:20",
Bot301,"Сергей Ибрагимов",hard,25,Failed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","23:15:47","23:19:14",
Bot302,"Пахом Лютов",hard,12,Completed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","23:15:48","23:15:58",
Bot304,"gamber Аксаков",hard,31,Failed,"RUAF Crossing Camping","RUAF Crossing Camping: Objective #1","2","23:15:50","23:23:33",
Bot304,"gamber Аксаков",hard,31,Failed,"RUAF Crossing Camping","RUAF Crossing Camping: Objective #2","1","23:16:05","23:23:33",
Bot304,"gamber Аксаков",hard,31,Completed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","23:16:05","23:16:11",
Bot304,"gamber Аксаков",hard,31,Completed,"Crackhouse","Crackhouse: Objective #7","1","23:16:17","23:22:11",
Bot304,"gamber Аксаков",hard,31,Completed,"Crackhouse","Crackhouse: Objective #3","1","23:22:16","23:22:26",
Bot304,"gamber Аксаков",hard,31,Completed,"Crackhouse","Crackhouse: Objective #2","1","23:22:31","23:22:38",
Bot304,"gamber Аксаков",hard,31,Failed,"Crackhouse","Crackhouse: Objective #4","1","23:22:44","23:23:33",
Bot305,"Сергей Львов",hard,28,Completed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","23:15:50","23:16:03",
Bot305,"Сергей Львов",hard,28,Failed,"Crackhouse","Crackhouse: Objective #3","1","23:23:33","23:23:49",
Bot306,"Демиан Веденеев",hard,63,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","23:15:52","23:25:59",
Bot307,"Нестор Буданов",hard,32,Completed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","23:15:53","23:16:07",
Bot307,"Нестор Буданов",hard,32,Failed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","23:16:12","23:19:41",
Bot308,"Нестор Трухин",hard,43,Completed,"Big Red","Big Red: Objective #2","1","23:15:53","23:24:43",
Bot308,"Нестор Трухин",hard,43,Completed,"Big Red","Big Red: Objective #3","1","23:24:48","23:24:53",
Bot308,"Нестор Трухин",hard,43,Failed,"Big Red","Big Red: Objective #5","1","23:24:58","23:25:06",
Bot308,"Нестор Трухин",hard,43,Completed,"Big Red","Big Red: Objective #1","1","23:25:11","23:25:20",
Bot308,"Нестор Трухин",hard,43,Failed,"Big Red","Big Red: Objective #4","1","23:25:25","23:25:29",
Bot308,"Нестор Трухин",hard,43,Active,"Storage","Storage: Objective #2","1","23:25:34","N/A",
Bot309,"Стас Горшков",hard,20,Completed,"Storage","Storage: Objective #7","1","23:15:55","23:27:40",
Bot309,"Стас Горшков",hard,20,Completed,"Storage","Storage: Objective #6","1","23:27:45","23:28:00",
Bot309,"Стас Горшков",hard,20,Completed,"Storage","Storage: Objective #5","1","23:28:06","23:28:14",
Bot309,"Стас Горшков",hard,20,Completed,"Storage","Storage: Objective #4","1","23:28:19","23:28:24",
Bot309,"Стас Горшков",hard,20,Completed,"Storage","Storage: Objective #3","1","23:28:29","23:28:49",
Bot309,"Стас Горшков",hard,20,Completed,"Storage","Storage: Objective #2","1","23:28:54","23:29:08",
Bot309,"Стас Горшков",hard,20,Completed,"Storage","Storage: Objective #1","1","23:29:13","23:29:20",
Bot309,"Стас Горшков",hard,20,Completed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","23:29:25","23:30:37",
Bot309,"Стас Горшков",hard,20,Completed,"Big Red","Big Red: Objective #3","1","23:30:43","23:32:08",
Bot309,"Стас Горшков",hard,20,Completed,"Big Red","Big Red: Objective #2","1","23:32:13","23:32:25",
