Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot108,"Владимир Чернявский",hard,16,Failed,"Village East House","Village East House: Objective #2","1","19:09:45","19:10:28",
Bot109,"Никита Кулагин",hard,18,Failed,"Village West House","Village West House: Objective #1","1","19:09:45","19:11:32",
Bot110,"Виктор Каменских",hard,11,Failed,"Village East House Backyard","Village East House Backyard: Objective #1","1","19:09:45","19:11:59",
Bot111,"Scottie Meeker",hard,18,Failed,"Easy Job - Part 1","Zone qlight_pr1_heli1_mark","1","19:09:47","19:16:18",
Bot128,"Дмитрий Митькин",hard,27,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","19:10:06","19:13:06",
Bot129,"Игнатий Шастин",hard,42,Completed,"Long Road Construction","Long Road Construction: Objective #2","1","19:10:07","19:10:14",
Bot129,"Игнатий Шастин",hard,42,Failed,"Long Road Construction","Long Road Construction: Objective #1","1","19:10:19","19:13:05",
Bot130,"Христофор Ненашев",hard,44,Failed,"Energy Crisis","Zone qlight_fuel_blood_bezovoz3","1","19:10:08","19:13:18",
Bot131,"gamber Ханцев",hard,26,Failed,"Merin Car","Merin Car: Objective #1","1","19:10:09","19:14:11",
Bot144,"Елисей Ерофеев",hard,33,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","19:14:04","19:15:56",
Bot144,"Елисей Ерофеев",hard,33,Failed,"Revision - Lighthouse","Zone qlight_mark_vech1","1","19:16:01","19:21:03",
Bot144,"Елисей Ерофеев",hard,33,Completed,"Reconnaissance","Zone qlight_extension_prapor1_exploration1","1","19:21:09","19:22:49",
Bot144,"Елисей Ерофеев",hard,33,Completed,"Reconnaissance","Zone qlight_extension_prapor1_exploration2","1","19:22:54","19:24:38",
Bot144,"Елисей Ерофеев",hard,33,Active,"Reconnaissance","Zone qlight_extension_prapor1_exploration3","1","19:24:43","N/A",
Bot145,"Захар Лягушкин",hard,41,Pending,"Network Provider - Part 2","Zone meh_42_radio_area_mark_2","1","19:14:04","N/A",
Bot146,"Colin Urias",hard,33,Failed,"Revision - Lighthouse","Zone qlight_mark_vech1","1","19:14:45","19:17:32",
Bot147,"Esteban Lundeen",hard,67,Failed,"Key to the Tower","Item Radio transmitter body","1","19:14:46","19:14:59",
Bot147,"Esteban Lundeen",hard,67,Failed,"Network Provider - Part 2","Zone meh_42_radio_area_mark_2","1","19:15:04","19:15:13",
Bot147,"Esteban Lundeen",hard,67,Failed,"Network Provider - Part 2","Zone meh_42_radio_area_mark_4","1","19:15:18","19:17:26",
Bot152,"Демиан Огиевич",hard,44,Failed,"Lost Contact","Zone qlight_find_scav_group1","1","19:19:49","19:21:46",
Bot153,"Илья Уголев",hard,40,Failed,"Lost Contact","Zone qlight_find_scav_group1","1","19:19:50","19:21:37",
Bot154,"Христофор Игнатьев",hard,25,Completed,"Cargo X - Part 4","Zone qlight16_peace_terra","1","19:21:49","19:22:51",
Bot154,"Христофор Игнатьев",hard,25,Failed,"Revision - Lighthouse","Zone qlight_mark_vech4","1","19:22:56","19:23:37",
Bot154,"Христофор Игнатьев",hard,25,Active,"Revision - Lighthouse","Zone qlight_mark_vech1","1","19:23:42","N/A",
Bot155,"Кондрат Воронцов",hard,28,Pending,"Revision - Lighthouse","Zone qlight_mark_vech4","1","19:21:50","N/A",
