Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot4,"Афанасий Устинов",normal,44,Completed,"Underground North","Underground North: Objective #5","1","20:56:25","21:00:46",
Bot4,"Афанасий Устинов",normal,44,Completed,"Underground North","Underground North: Objective #6","1","21:00:52","21:01:09",
Bot4,"Афанасий Устинов",normal,44,Completed,"Underground North","Underground North: Objective #4","2","21:01:14","21:01:59",
Bot4,"Афанасий Устинов",normal,44,Completed,"Underground North","Underground North: Objective #3","1","21:02:05","21:02:12",
Bot4,"Афанасий Устинов",normal,44,Completed,"Underground North","Underground North: Objective #2","1","21:02:17","21:04:12",
Bot4,"Афанасий Устинов",normal,44,Completed,"Underground North","Underground North: Objective #1","1","21:04:18","21:04:26",
Bot4,"Афанасий Устинов",normal,44,Completed,"Underground North","Underground North: Objective #7","2","21:04:31","21:04:52",
Bot4,"Афанасий Устинов",normal,44,Completed,"Underground North","Underground North: Objective #8","1","21:04:57","21:05:51",
Bot4,"Афанасий Устинов",normal,44,Completed,"Underground Entrance","Underground Entrance: Objective #1","1","21:05:57","21:06:02",
Bot4,"Афанасий Устинов",normal,44,Completed,"Underground Entrance","Underground Entrance: Objective #2","1","21:06:07","21:06:18",
Bot4,"Афанасий Устинов",normal,44,Completed,"Underground Entrance","Underground Entrance: Objective #3","1","21:06:23","21:07:04",
Bot4,"Афанасий Устинов",normal,44,Failed,"Tarbank","Tarbank: Objective #2","1","21:07:09","21:11:34",
Bot5,"Аскольд Пудовкин",normal,10,Failed,"Underground Entrance","Underground Entrance: Objective #1","1","20:56:27","21:00:02",
Bot6,"Михей Летов",normal,39,Failed,"Mira Avenue Extract Camping","Mira Avenue Extract Camping: Objective #1","1","20:56:32","20:59:56",
Bot12,"Вантуз Полторашка (Haywood)",normal,1,Failed,"Underground Utility Room","Underground Utility Room: Objective #1","1","20:56:35","20:57:33",
Bot12,"Вантуз Полторашка (Haywood)",normal,1,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","3","20:57:38","20:59:15",
Bot12,"Вантуз Полторашка (Haywood)",normal,1,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","2","20:59:20","21:04:21",
Bot17,"Иосиф Уралец",normal,40,Completed,"Capital Insight","Capital Insight: Objective #3","1","21:03:23","21:03:26",
Bot17,"Иосиф Уралец",normal,40,Completed,"Capital Insight","Capital Insight: Objective #2","1","21:03:31","21:03:53",
Bot17,"Иосиф Уралец",normal,40,Completed,"Capital Insight","Capital Insight: Objective #1","1","21:03:58","21:04:12",
Bot17,"Иосиф Уралец",normal,40,Failed,"Capital Insight","Capital Insight: Objective #4","1","21:04:17","21:09:16",
Bot18,"Григорий Югов",normal,31,Completed,"Capital Insight","Capital Insight: Objective #3","1","21:03:23","21:03:26",
Bot18,"Григорий Югов",normal,31,Failed,"Capital Insight","Capital Insight: Objective #2","1","21:03:31","21:06:06",
Bot19,"Валерий Татаринцев",normal,31,Failed,"Capital Insight Quest Room Camping","Capital Insight Quest Room Camping: Objective #1","1","21:03:23","21:08:30",
Bot20,"Лаврентий Глухов",normal,9,Failed,"Capital Insight Stairwell Camping","Capital Insight Stairwell Camping: Objective #1","1","21:03:25","21:09:04",
Bot20,"Лаврентий Глухов",normal,9,Failed,"Tarbank Upstairs","Tarbank Upstairs: Objective #2","1","21:07:58","21:09:04",
Bot30,"Слава Фикус (Wilford)",normal,1,Failed,"Underground North","Underground North: Objective #3","1","21:10:12","21:12:09",
Bot31,"Neville Mcgregor",normal,40,Completed,"Capital Insight","Capital Insight: Objective #3","1","21:10:26","21:10:28",
Bot31,"Neville Mcgregor",normal,40,Failed,"Capital Insight","Capital Insight: Objective #2","1","21:10:33","21:11:30",
Bot32,"Orlando Tait",normal,34,Failed,"Capital Insight Cafe Camping","Capital Insight Cafe Camping: Objective #1","1","21:10:29","21:11:31",
Bot33,"Астап Мухаметшин",normal,14,Failed,"Underground Utility Room","Underground Utility Room: Objective #1","1","21:11:42","21:12:35",
Bot34,"Степан Варушкин",normal,38,Pending,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","21:11:46","N/A",
Bot35,"Константин Чуприн",normal,25,Pending,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","1","21:11:47","N/A",
Bot36,"Артём Попырин",normal,18,Active,"Underground Utility Room","Underground Utility Room: Objective #1","1","21:11:53","N/A",
Bot37,"Бронислав Первак",normal,40,Pending,"Emercom Checkpoint","Emercom Checkpoint: Objective #2","1","21:11:53","N/A",
Bot38,"Александр Бубеш (Alvaro)",normal,1,Failed,"Underground North","Underground North: Objective #3","1","21:12:55","21:12:57",
Bot41,"Емельян Беспалов",normal,34,Completed,"Tarbank","Tarbank: Objective #6","1","21:15:07","21:15:30",
Bot41,"Емельян Беспалов",normal,34,Pending,"Tarbank","Tarbank: Objective #1","1","21:15:35","N/A",
Bot43,"Анатолий Усенко",normal,29,Pending,"Kyshperski","Kyshperski: Objective #3","1","21:15:13","N/A",
Bot44,"Лаврентий Кандинский",normal,32,Pending,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","21:15:16","N/A",
Bot45,"Филимон Осинцев",normal,31,Pending,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","1","21:15:32","N/A",
