Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Truman Schlesinger",hard,21,Failed,"Chemical - Part 4","Zone gazel","1","00:58:33","01:00:55",
Bot1,"Truman Schlesinger",hard,21,Failed,"Pharmacist","Zone vaz_feld","1","01:01:00","01:01:56",
Bot2,"Boyce Merriweather",hard,13,Failed,"Big Customer","Zone gazel","1","00:58:33","01:00:38",
Bot3,"Brian Aldridge",hard,36,Failed,"Short Cut","Short Cut: Objective #1","1","00:58:35","01:00:15",
Bot4,"Кондратий Пушкарёв",hard,32,Completed,"Admin Gate","Admin Gate: Objective #1","1","00:58:36","00:58:46",
Bot4,"Кондратий Пушкарёв",hard,32,Completed,"Repair Shop","Repair Shop: Objective #8","1","00:58:52","01:03:01",
Bot4,"Кондратий Пушкарёв",hard,32,Completed,"Repair Shop","Repair Shop: Objective #9","1","01:03:06","01:03:25",
Bot4,"Кондратий Пушкарёв",hard,32,Completed,"Repair Shop","Repair Shop: Objective #7","1","01:03:30","01:03:51",
Bot4,"Кондратий Пушкарёв",hard,32,Failed,"Repair Shop","Repair Shop: Objective #2","1","01:03:56","01:04:07",
Bot4,"Кондратий Пушкарёв",hard,32,Completed,"Repair Shop","Repair Shop: Objective #6","1","01:04:12","01:04:27",
Bot4,"Кондратий Пушкарёв",hard,32,Failed,"Repair Shop","Repair Shop: Objective #3","1","01:04:32","01:05:07",
Bot4,"Кондратий Пушкарёв",hard,32,Failed,"Repair Shop","Repair Shop: Objective #4","1","01:05:12","01:05:19",
Bot4,"Кондратий Пушкарёв",hard,32,Completed,"Repair Shop","Repair Shop: Objective #1","1","01:05:24","01:05:43",
Bot4,"Кондратий Пушкарёв",hard,32,Failed,"Repair Shop","Repair Shop: Objective #5","1","01:05:48","01:05:49",
Bot4,"Кондратий Пушкарёв",hard,32,Completed,"Flash-Drive Van","Flash-Drive Van: Objective #1","1","01:05:54","01:06:25",
Bot4,"Кондратий Пушкарёв",hard,32,Archived,"New Gas","New Gas: Objective #1","1","01:06:30","01:07:03",
Bot4,"Кондратий Пушкарёв",hard,32,Archived,"New Gas","New Gas: Objective #2","1","01:07:08","01:07:23",
Bot4,"Кондратий Пушкарёв",hard,32,Archived,"New Gas","New Gas: Objective #3","1","01:07:28","01:07:35",
Bot4,"Кондратий Пушкарёв",hard,32,Archived,"Short Cut","Short Cut: Objective #1","1","01:07:40","01:09:00",
Bot4,"Кондратий Пушкарёв",hard,32,Completed,"Giving Tree","Giving Tree: Objective #1","1","01:09:05","01:13:21",
Bot4,"Кондратий Пушкарёв",hard,32,Completed,"Old Gas","Old Gas: Objective #1","1","01:13:26","01:14:23",
Bot4,"Кондратий Пушкарёв",hard,32,Completed,"Old Gas","Old Gas: Objective #2","1","01:14:28","01:14:36",
Bot4,"Кондратий Пушкарёв",hard,32,Completed,"Power Switch","Power Switch: Objective #1","2","01:14:41","01:15:18",
Bot4,"Кондратий Пушкарёв",hard,32,Failed,"Dorms 3 Story","Dorms 3 Story: Objective #6","1","01:15:23","01:15:46",
Bot4,"Кондратий Пушкарёв",hard,32,Active,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","01:15:51","N/A",
Bot5,"Данила Кривоухов",hard,36,Pending,"Boss Hunter","Spawn Point (581.8 3.1 0.9)","1","00:58:36","N/A",
Bot6,"Филимон Тёмкин",hard,35,Failed,"Repair Shop","Repair Shop: Objective #8","1","00:58:37","01:21:55",
Bot7,"Anton Pineiro",hard,66,Completed,"Dorms 2 Story Rush","Dorms 2 Story Rush: Objective #1","1","00:58:38","00:59:01",
Bot7,"Anton Pineiro",hard,66,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","00:59:06","00:59:54",
Bot7,"Anton Pineiro",hard,66,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","00:59:59","01:00:02",
Bot7,"Anton Pineiro",hard,66,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","01:00:07","01:00:07",
Bot7,"Anton Pineiro",hard,66,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","01:00:12","01:00:20",
Bot7,"Anton Pineiro",hard,66,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","01:00:25","01:00:30",
Bot7,"Anton Pineiro",hard,66,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #10","1","01:00:35","01:00:57",
Bot7,"Anton Pineiro",hard,66,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #8","1","01:01:02","01:01:02",
Bot7,"Anton Pineiro",hard,66,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #7","1","01:01:07","01:01:07",
Bot7,"Anton Pineiro",hard,66,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","01:01:12","01:01:18",
Bot7,"Anton Pineiro",hard,66,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","01:01:23","01:01:34",
Bot7,"Anton Pineiro",hard,66,Failed,"Boss Hunter","Spawn Point (174.7 -0.1 152.7)","1","01:01:39","01:02:41",
Bot22,"Alex Peery",hard,30,Failed,"Chumming","Zone place_skier_12_2","1","01:03:40","01:06:07",
