Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot205,"Гордей Белорусов",hard,65,Failed,"Violet Room","Violet Room: Objective #1","1","22:34:42","22:37:14",
Bot206,"Даниил Лёвкин",hard,51,Failed,"Boss Hunter","Spawn Point (-213.1 0.1 -378.8)","1","22:34:43","22:36:05",
Bot207,"Борис Бирюков",hard,61,Completed,"Security Office","Security Office: Objective #1","1","22:34:45","22:39:06",
Bot207,"Борис Бирюков",hard,61,Failed,"Security Office","Security Office: Objective #2","1","22:39:11","22:39:11",
Bot208,"Len Cayer",hard,39,Failed,"Boss Hunter","Spawn Point (-279.6 0.1 -365.4)","1","22:34:45","22:36:49",
Bot209,"Glenn Dossantos",hard,63,Failed,"Main Elevator Power Switch","Main Elevator Power Switch: Objective #1","1","22:34:46","22:35:52",
Bot210,"Williams Pettway",hard,41,Failed,"Parking","Parking: Objective #2","1","22:34:47","22:36:26",
Bot211,"Roderick Rainwater",hard,44,Failed,"Parking Stairwell","Parking Stairwell: Objective #1","1","22:34:48","22:36:13",
Bot212,"Елизар Лукьяненко",hard,45,Failed,"Black Room","Black Room: Objective #1","1","22:34:49","22:38:44",
Bot217,"Joesph Harlan",hard,57,Failed,"Red Room","Red Room: Objective #1","1","22:37:07","22:37:08",
Bot217,"Joesph Harlan",hard,57,Failed,"Security Office","Security Office: Objective #2","1","22:37:13","22:38:18",
Bot218,"Lamar Knauss",hard,37,Failed,"Security Office","Security Office: Objective #1","1","22:37:08","22:38:36",
Bot219,"Blair Kear",hard,58,Failed,"Conference Room","Conference Room: Objective #4","1","22:37:09","22:38:12",
Bot220,"Bernie Rish",hard,35,Failed,"Red Room","Red Room: Objective #1","1","22:37:10","22:37:11",
Bot220,"Bernie Rish",hard,35,Failed,"Security Office","Security Office: Objective #1","1","22:37:16","22:38:28",
Bot221,"Daniel Mummert",hard,50,Failed,"Main Elevator Power Switch","Main Elevator Power Switch: Objective #1","1","22:37:11","22:38:26",
Bot222,"Роман Панин",hard,47,Failed,"Boss Hunter","Spawn Point (-205.3 0.0 -390.6)","1","22:37:12","22:40:40",
Bot223,"Емельян Осокин",hard,36,Failed,"Boss Hunter","Spawn Point (-205.3 0.0 -390.6)","1","22:37:13","22:38:27",
Bot224,"Гордей Староверов",hard,64,Failed,"Conference Room","Conference Room: Objective #4","1","22:37:14","22:41:22",
Bot225,"Максим Танков",hard,48,Failed,"Boss Hunter","Spawn Point (-218.1 2.7 -448.6)","1","22:39:04","22:39:37",
Bot226,"Артур Ханцев",hard,52,Completed,"Offices Outside","Offices Outside: Objective #1","1","22:39:04","22:42:04",
Bot226,"Артур Ханцев",hard,52,Completed,"Offices Outside","Offices Outside: Objective #2","1","22:42:09","22:42:19",
Bot226,"Артур Ханцев",hard,52,Completed,"Negotiation Room","Negotiation Room: Objective #2","1","22:42:25","22:42:48",
Bot226,"Артур Ханцев",hard,52,Completed,"Negotiation Room","Negotiation Room: Objective #1","1","22:42:53","22:43:02",
Bot226,"Артур Ханцев",hard,52,Failed,"Green Room","Green Room: Objective #7","1","22:43:07","22:43:13",
Bot226,"Артур Ханцев",hard,52,Failed,"Green Room","Green Room: Objective #4","1","22:43:18","22:43:18",
Bot226,"Артур Ханцев",hard,52,Failed,"Green Room","Green Room: Objective #8","1","22:43:23","22:44:35",
Bot226,"Артур Ханцев",hard,52,Failed,"Green Room","Green Room: Objective #1","1","22:44:40","22:44:40",
Bot226,"Артур Ханцев",hard,52,Failed,"Green Room","Green Room: Objective #3","1","22:44:45","22:45:34",
Bot227,"Chang Ritenour",hard,46,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_test","1","22:39:23","22:39:24",
Bot227,"Chang Ritenour",hard,46,Failed,"Following the Bread Crumbs","Item Secured tape","1","22:39:29","22:40:01",
Bot228,"Linel Vansickle",hard,50,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_test","1","22:39:25","22:40:14",
Bot229,"Данила Чумаков",hard,54,Failed,"Red Room","Red Room: Objective #1","1","22:39:29","22:43:17",
Bot230,"Савва Татаринцев",hard,59,Failed,"Red Room","Red Room: Objective #1","1","22:39:30","22:44:07",
Bot231,"Владислав Миньковский",hard,48,Failed,"Admin Office","Admin Office: Objective #2","1","22:39:31","22:44:58",
Bot232,"Soup Боголепов",hard,59,Failed,"Conference Room","Conference Room: Objective #4","1","22:39:32","22:42:05",
Bot236,"Илья Тёмкин",hard,42,Failed,"Green Room","Green Room: Objective #8","1","22:41:48","22:41:48",
Bot236,"Илья Тёмкин",hard,42,Failed,"Green Room","Green Room: Objective #1","1","22:41:53","22:41:54",
Bot236,"Илья Тёмкин",hard,42,Failed,"Green Room","Green Room: Objective #5","1","22:41:59","22:50:59",
Bot237,"Артемий Есаулов",hard,38,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_test","1","22:41:49","22:41:50",
Bot237,"Артемий Есаулов",hard,38,Failed,"Following the Bread Crumbs","Item Secured tape","1","22:41:55","22:46:23",
Bot238,"Осип Безруков",hard,62,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_test","1","22:41:50","22:41:51",
Bot238,"Осип Безруков",hard,62,Failed,"Following the Bread Crumbs","Item Secured tape","1","22:41:56","22:48:43",
Bot239,"Сергей Щеголяев",hard,69,Failed,"Main Elevator Power Switch","Main Elevator Power Switch: Objective #1","1","22:41:51","22:50:20",
Bot240,"Михаил Сильнов",hard,58,Failed,"Security Barracks","Security Barracks: Objective #1","1","22:41:53","22:51:25",
Bot241,"Остап Тамаркин",hard,56,Failed,"Violet Room","Violet Room: Objective #1","1","22:41:54","22:46:48",
Bot242,"Wesley Hearns",hard,62,Failed,"Parking","Parking: Objective #3","1","22:41:55","22:41:55",
Bot243,"Ron Duplantis",hard,40,Failed,"Parking Gate Controls","Parking Gate Controls: Objective #1","1","22:41:56","22:42:04",
Bot244,"Joseph Sommerfield",hard,48,Failed,"Parking Stairwell","Parking Stairwell: Objective #1","1","22:42:00","22:42:31",
Bot252,"Пантелей Худовеков",hard,40,Completed,"Conference Room","Conference Room: Objective #3","1","22:45:30","22:49:00",
Bot252,"Пантелей Худовеков",hard,40,Completed,"Conference Room","Conference Room: Objective #2","1","22:49:06","22:49:43",
Bot252,"Пантелей Худовеков",hard,40,Completed,"Conference Room","Conference Room: Objective #4","1","22:49:48","22:49:50",
Bot252,"Пантелей Худовеков",hard,40,Completed,"Conference Room","Conference Room: Objective #1","1","22:49:55","22:50:54",
Bot252,"Пантелей Худовеков",hard,40,Failed,"Rec Area 2nd Floor Patrol","Rec Area 2nd Floor Patrol: Objective #4","2","22:50:59","22:55:33",
Bot253,"Bill Straus",hard,59,Failed,"Black Room","Black Room: Objective #2","1","22:46:31","22:47:54",
Bot254,"Sean Rother",hard,37,Failed,"Green Room","Green Room: Objective #8","1","22:46:35","22:46:35",
Bot254,"Sean Rother",hard,37,Failed,"Green Room","Green Room: Objective #1","1","22:46:40","22:48:08",
Bot255,"Артемий Юневич",hard,40,Failed,"Red Room","Red Room: Objective #1","1","22:46:36","22:54:16",
Bot256,"Эдуард Лосев",hard,46,Failed,"Conference Room","Conference Room: Objective #4","1","22:46:36","22:51:27",
Bot260,"Wilbert Hoang",hard,52,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_saferoom","1","22:48:13","22:49:00",
Bot261,"Сергей Соломахин",hard,64,Failed,"Main Working Area West","Main Working Area West: Objective #4","1","22:48:52","22:52:17",
Bot262,"Alphonso Stoddard",hard,65,Failed,"Parking Gate Controls","Parking Gate Controls: Objective #1","1","22:49:28","22:50:14",
Bot265,"Cary Dingler",hard,43,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_saferoom","1","22:50:51","22:51:14",
Bot265,"Cary Dingler",hard,43,Failed,"Following the Bread Crumbs","Item Secured tape","1","22:51:19","22:52:46",
Bot266,"Moses Hildebrand",hard,35,Completed,"Conference Room","Conference Room: Objective #3","1","22:50:52","22:57:19",
Bot266,"Moses Hildebrand",hard,35,Completed,"Conference Room","Conference Room: Objective #2","1","22:57:24","22:58:07",
Bot266,"Moses Hildebrand",hard,35,Completed,"Conference Room","Conference Room: Objective #4","1","22:58:12","22:58:58",
Bot266,"Moses Hildebrand",hard,35,Failed,"Conference Room","Conference Room: Objective #1","1","22:59:03","23:00:17",
Bot267,"Илья Калашников",hard,42,Failed,"Violet Room","Violet Room: Objective #1","1","22:51:20","22:51:38",
Bot268,"Tommy Spiers",hard,55,Failed,"Main Elevator Power Switch","Main Elevator Power Switch: Objective #1","1","22:51:48","22:52:12",
Bot269,"Enoch Pucci",hard,65,Completed,"Parking Gate Controls","Parking Gate Controls: Objective #1","2","22:51:49","22:53:26",
Bot269,"Enoch Pucci",hard,65,Failed,"Main Elevator Power Switch","Main Elevator Power Switch: Objective #1","1","22:53:31","22:56:27",
Bot270,"Barton Trollinger",hard,56,Failed,"Violet Room","Violet Room: Objective #1","1","22:51:50","22:51:59",
Bot271,"Jackie Caywood",hard,66,Failed,"Green Room","Green Room: Objective #7","1","22:52:15","22:53:48",
Bot279,"Альберт Баскин",hard,63,Failed,"Red Room","Red Room: Objective #1","1","22:53:40","22:58:22",
Bot280,"Сильвестр Бореев",hard,43,Failed,"Violet Room","Violet Room: Objective #1","1","22:53:46","22:56:05",
Bot281,"Тимофей Абдулов",hard,51,Failed,"Red Room","Red Room: Objective #1","1","22:53:59","22:55:44",
Bot282,"Демид Юренев",hard,56,Failed,"Security Office","Security Office: Objective #1","1","22:54:01","22:56:41",
