Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot110,"Abe Pitcher",hard,50,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_saferoom","1","21:55:27","21:55:45",
Bot110,"Abe Pitcher",hard,50,Completed,"Following the Bread Crumbs","Item Secured tape","1","21:55:50","21:56:28",
Bot110,"Abe Pitcher",hard,50,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_test","1","21:56:33","21:57:22",
Bot111,"Sydney Tillotson",hard,63,Failed,"Security Office","Security Office: Objective #2","1","21:55:27","21:57:17",
Bot112,"Ahmed Shumate",hard,39,Failed,"Red Room","Red Room: Objective #1","1","21:55:28","21:55:28",
Bot112,"Ahmed Shumate",hard,39,Failed,"Cafeteria","Cafeteria: Objective #1","1","21:55:34","22:00:19",
Bot113,"Эдуард Кирсанов",hard,59,Failed,"Boss Hunter","Spawn Point (-141.9 -4.0 -416.7)","1","21:55:29","21:56:10",
Bot114,"Тимофей Куклачёв",hard,54,Failed,"Boss Hunter","Spawn Point (-141.9 -4.0 -416.7)","1","21:55:31","21:57:51",
Bot115,"Пахом Илюшкин",hard,46,Failed,"Rec Area 2nd Floor Patrol","Rec Area 2nd Floor Patrol: Objective #3","1","21:55:32","21:57:47",
Bot116,"Tracey Pool",hard,39,Failed,"Green Room","Green Room: Objective #7","1","21:55:32","21:55:40",
Bot116,"Tracey Pool",hard,39,Failed,"Green Room","Green Room: Objective #6","1","21:55:45","21:57:04",
Bot116,"Tracey Pool",hard,39,Failed,"Green Room","Green Room: Objective #5","1","21:57:09","21:59:32",
Bot117,"Lonny Paden",hard,69,Failed,"Blue Room","Blue Room: Objective #1","1","21:55:34","21:59:20",
Bot118,"Станислав Бебчук",hard,37,Failed,"Boss Hunter","Spawn Point (-275.2 0.1 -381.1)","1","21:57:47","22:00:37",
Bot119,"Сильвестр Кубышкин",hard,56,Failed,"Security Office","Security Office: Objective #1","1","21:57:48","22:01:50",
Bot120,"Прохор Колонтаев",hard,46,Failed,"Violet Room","Violet Room: Objective #1","1","21:57:49","22:03:13",
Bot121,"Афанасий Остальцев",hard,52,Failed,"Admin Office","Admin Office: Objective #2","1","21:57:53","21:58:31",
Bot124,"Delbert Huggard",hard,41,Failed,"Boss Hunter","Spawn Point (-183.6 2.7 -227.1)","1","21:58:08","22:03:44",
Bot124,"Delbert Huggard",hard,41,Completed,"Boss Hunter","Spawn Point (-116.4 0.0 -256.5)","1","21:58:50","21:59:18",
Bot124,"Delbert Huggard",hard,41,Failed,"Boss Hunter","Spawn Point (-157.6 2.7 -222.8)","1","21:59:23","22:03:44",
Bot124,"Delbert Huggard",hard,41,Completed,"Boss Hunter","Spawn Point (-206.3 1.5 -291.0)","1","22:01:06","22:02:16",
Bot124,"Delbert Huggard",hard,41,Failed,"Boss Hunter","Spawn Point (-184.4 2.7 -222.8)","1","22:02:21","22:03:44",
Bot127,"Филат Зотов",hard,39,Failed,"Offices 1","Offices 1: Objective #1","1","21:59:44","21:59:45",
Bot127,"Филат Зотов",hard,39,Failed,"Rec Area 2nd Floor Patrol","Rec Area 2nd Floor Patrol: Objective #3","1","21:59:50","22:01:40",
Bot128,"Емельян Церетели",hard,65,Failed,"Blue Room","Blue Room: Objective #1","1","21:59:46","22:02:34",
Bot129,"Вадим Таушев",hard,39,Failed,"Blue Room","Blue Room: Objective #1","1","21:59:47","22:02:04",
Bot130,"Христофор Асланов",hard,41,Failed,"Parking","Parking: Objective #3","1","22:00:24","22:02:08",
Bot131,"Scott Parmelee",hard,35,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_saferoom","1","22:00:49","22:01:21",
Bot132,"Hayden Villalba",hard,41,Failed,"Security Office","Security Office: Objective #1","1","22:02:29","22:04:21",
Bot133,"Cory Fredrick",hard,37,Failed,"Red Room","Red Room: Objective #1","1","22:02:30","22:04:36",
Bot134,"Elton Brobst",hard,52,Failed,"Security Office","Security Office: Objective #1","1","22:02:31","22:04:06",
Bot135,"Glenn Nourse",hard,44,Failed,"Conference Room","Conference Room: Objective #4","1","22:02:54","22:05:12",
Bot136,"Joesph Rape",hard,44,Failed,"Parking Gate Controls","Parking Gate Controls: Objective #1","1","22:02:55","22:05:02",
Bot137,"Earnest Malkin",hard,58,Failed,"Parking Gate Controls","Parking Gate Controls: Objective #1","1","22:02:56","22:05:39",
Bot142,"Ricky Woodrum",hard,35,Failed,"Red Room","Red Room: Objective #1","1","22:03:31","22:06:36",
Bot143,"Simon Newbold",hard,41,Failed,"Following the Bread Crumbs","Item Secured tape","1","22:04:18","22:08:43",
Bot144,"Thurman Reyer",hard,39,Failed,"Main Working Area West","Main Working Area West: Objective #1","1","22:04:19","22:06:23",
Bot146,"Данила Мамонов",hard,42,Failed,"Red Room","Red Room: Objective #1","1","22:04:51","22:04:52",
Bot146,"Данила Мамонов",hard,42,Failed,"Rec Area 2nd Floor Patrol","Rec Area 2nd Floor Patrol: Objective #1","1","22:04:57","22:06:37",
Bot147,"Наум Мигунов",hard,36,Failed,"Main Elevator Power Switch","Main Elevator Power Switch: Objective #1","1","22:04:51","22:05:29",
Bot149,"Len Dall",hard,66,Completed,"Main Elevator Power Switch","Main Elevator Power Switch: Objective #1","2","22:05:25","22:07:24",
Bot149,"Len Dall",hard,66,Completed,"Conference Room","Conference Room: Objective #4","1","22:07:29","22:07:43",
Bot149,"Len Dall",hard,66,Completed,"Conference Room","Conference Room: Objective #2","1","22:07:48","22:07:51",
Bot149,"Len Dall",hard,66,Failed,"Conference Room","Conference Room: Objective #1","1","22:07:56","22:10:45",
Bot151,"Fred Hamblin",hard,52,Failed,"Admin Office","Admin Office: Objective #2","1","22:05:26","22:09:44",
Bot156,"Brad Manly",hard,44,Completed,"Gym","Gym: Objective #1","1","22:06:21","22:07:10",
Bot156,"Brad Manly",hard,44,Failed,"TerraGroup Employee","Item Flash drive marked with blue tape","1","22:07:15","22:09:21",
Bot157,"Simon Whittington",hard,36,Failed,"Rec Area 2nd Floor Patrol","Rec Area 2nd Floor Patrol: Objective #1","1","22:06:27","22:09:11",
Bot158,"Cason Augustine",hard,38,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_saferoom","1","22:07:14","22:13:11",
Bot159,"Johnathon Aden",hard,40,Failed,"Violet Room","Violet Room: Objective #1","1","22:07:14","22:13:47",
Bot160,"Maxwell Keown",hard,67,Completed,"Rec Area 2nd Floor Patrol","Rec Area 2nd Floor Patrol: Objective #2","2","22:07:51","22:10:48",
Bot160,"Maxwell Keown",hard,67,Completed,"Rec Area 2nd Floor Patrol","Rec Area 2nd Floor Patrol: Objective #3","2","22:10:49","22:13:22",
Bot160,"Maxwell Keown",hard,67,Failed,"Rec Area 2nd Floor Patrol","Rec Area 2nd Floor Patrol: Objective #4","2","22:13:23","22:13:53",
Bot163,"Kraig Hawley",hard,35,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_saferoom","1","22:08:55","22:10:31",
Bot164,"Александр Минеев",hard,51,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_test","1","22:09:34","22:09:34",
Bot164,"Александр Минеев",hard,51,Failed,"Following the Bread Crumbs","Item Secured tape","1","22:09:39","22:10:33",
Bot165,"Иван Щукин",hard,60,Failed,"Following the Bread Crumbs","Zone quest_zone_keeper7_test","1","22:09:37","22:09:37",
Bot165,"Иван Щукин",hard,60,Failed,"Following the Bread Crumbs","Item Secured tape","1","22:09:42","22:10:33",
Bot166,"Andy Guan",hard,44,Failed,"Security Office","Security Office: Objective #1","1","22:09:43","22:12:45",
Bot167,"Christopher Sonnier",hard,66,Failed,"Security Office","Security Office: Objective #1","1","22:09:46","22:13:02",
