Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Наум Паршин",normal,37,Failed,"Informed Means Armed","Zone place_skier_11_3","1","17:33:42","17:37:55",
Bot3,"Анатолий Жигунов",normal,3,Failed,"Scav Camp Area","Scav Camp Area: Objective #1","1","17:33:43","17:39:07",
Bot4,"Артём Полунин",normal,38,Failed,"Hot Delivery","Zone place_merch_020_2","1","17:33:43","17:38:56",
Bot5,"Виктор Драгомиров",normal,40,Completed,"Hot Delivery","Zone place_merch_020_2","2","17:33:45","17:41:42",
Bot5,"Виктор Драгомиров",normal,40,Failed,"Hot Delivery","Zone place_merch_020_1","1","17:41:47","17:44:56",
Bot6,"Михей Кожухов",normal,27,Failed,"Database - Part 1","Item IDEA cargo manifests","1","17:33:46","17:52:54",
Bot7,"Стас Федосеев",normal,10,Completed,"IDEA Office","IDEA Office: Objective #1","2","17:33:46","17:54:32",
Bot7,"Стас Федосеев",normal,10,Completed,"IDEA Office","IDEA Office: Objective #3","1","17:54:37","17:54:47",
Bot7,"Стас Федосеев",normal,10,Completed,"IDEA Office","IDEA Office: Objective #2","3","17:54:52","17:56:11",
Bot7,"Стас Федосеев",normal,10,Failed,"IDEA North Bus","IDEA North Bus: Objective #1","1","17:56:16","17:56:16",
Bot7,"Стас Федосеев",normal,10,Archived,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #7","1","17:56:22","17:57:55",
Bot7,"Стас Федосеев",normal,10,Archived,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #6","1","17:58:00","17:58:07",
Bot7,"Стас Федосеев",normal,10,Archived,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #5","1","17:58:12","17:58:25",
Bot7,"Стас Федосеев",normal,10,Archived,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #3","1","17:58:30","17:58:43",
Bot7,"Стас Федосеев",normal,10,Archived,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #4","1","17:58:49","17:59:37",
