Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot142,"Руслан Митин",hard,20,Failed,"Database - Part 1","Item IDEA cargo manifests","1","22:22:41","22:23:10",
Bot144,"Игорь Федченков",hard,26,Failed,"Vitamins - Part 1","Item Chemical container #2","1","22:22:42","22:25:34",
Bot145,"Давид Сукачёв",hard,27,Failed,"Big Sale","Zone place_SALE_03_DINO","1","22:22:43","22:24:50",
Bot149,"Сергей Ильясов",hard,38,Failed,"Boss Hunter","Spawn Point (-70.5 27.1 -286.8)","1","22:22:47","22:23:14",
Bot149,"Сергей Ильясов",hard,38,Failed,"Boss Hunter","Spawn Point (-70.5 27.1 -261.7)","1","22:23:19","22:23:35",
Bot149,"Сергей Ильясов",hard,38,Completed,"Boss Hunter","Spawn Point (-51.9 27.1 -204.1)","1","22:23:40","22:26:53",
Bot149,"Сергей Ильясов",hard,38,Completed,"Boss Hunter","Spawn Point (-65.8 27.3 -275.6)","1","22:26:58","22:27:29",
Bot149,"Сергей Ильясов",hard,38,Failed,"Boss Hunter","Spawn Point (7.0 27.1 -238.9)","1","22:27:34","22:33:12",
Bot150,"Михей Воскобойников",hard,39,Failed,"IDEA Office","IDEA Office: Objective #3","1","22:22:48","22:29:10",
Bot151,"Кузьма Паулкин",hard,28,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_3","1","22:22:50","22:28:53",
Bot163,"Корней Бочаров",hard,24,Failed,"Informed Means Armed","Zone place_skier_11_3","1","22:27:50","22:29:40",
Bot162,"Владислав Дёмин",hard,40,Failed,"Chumming","Zone place_skier_12_1","1","22:27:50","22:30:03",
Bot164,"Elias Hennen",hard,32,Failed,"Minibus","Zone place_merch_21_2","1","22:27:55","22:32:02",
Bot164,"Elias Hennen",hard,32,Pending,"Minibus","Zone place_merch_21_3","1","22:32:07","N/A",
Bot165,"Bruno Dwyer",hard,15,Pending,"Database - Part 2","Item OLI cargo route documents","1","22:27:56","N/A",
Bot166,"Connie Heffernan",hard,39,Active,"Provocation","Zone quest_zone_keeper6_kiba_kill","1","22:28:00","N/A",
Bot167,"William Degraff",hard,56,Pending,"DOM","DOM: Objective #2","1","22:28:01","N/A",
Bot169,"Василий Беломестнов",hard,29,Failed,"Big Sale","Zone place_SALE_03_TOPBRAND","1","22:29:22","22:29:57",
Bot169,"Василий Беломестнов",hard,29,Active,"Big Sale","Zone place_SALE_03_AVOKADO","1","22:30:02","N/A",
Bot170,"Мирон Травников",hard,40,Pending,"Provocation","Zone quest_zone_keeper6_kiba_kill","1","22:29:28","N/A",
Bot175,"Ефим Шаршин",hard,30,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_3","1","22:31:15","22:31:21",
Bot175,"Ефим Шаршин",hard,30,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_1","1","22:31:26","22:33:42",
Bot176,"Виктор Караваев",hard,16,Failed,"IDEA Office","IDEA Office: Objective #3","1","22:31:24","22:32:41",
Bot177,"Прохор Утёсов",hard,28,Failed,"Vitamins - Part 1","Item Chemical container #2","1","22:33:02","22:36:48",
Bot177,"Прохор Утёсов",hard,28,Completed,"Vitamins - Part 1","Item Chemical container #3","1","22:33:47","22:36:06",
Bot177,"Прохор Утёсов",hard,28,Completed,"Big Sale","Zone place_SALE_03_KOSTIN","1","22:36:11","22:36:22",
Bot177,"Прохор Утёсов",hard,28,Failed,"Big Sale","Zone place_SALE_03_TREND","1","22:36:27","22:36:48",
Bot178,"Claud Hazel",hard,25,Failed,"Chumming","Zone place_skier_12_1","1","22:33:42","22:33:51",
Bot180,"Deon Manke",hard,29,Completed,"Big Sale","Zone place_SALE_03_TREND","1","22:34:39","22:35:44",
Bot180,"Deon Manke",hard,29,Completed,"Big Sale","Zone place_SALE_03_DINO","1","22:35:49","22:36:02",
Bot180,"Deon Manke",hard,29,Completed,"Big Sale","Zone place_SALE_03_KOSTIN","1","22:36:07","22:38:45",
Bot180,"Deon Manke",hard,29,Active,"Big Sale","Zone place_SALE_03_AVOKADO","1","22:38:50","N/A",
Bot181,"Laverne Jaramillo",hard,38,Pending,"Vitamins - Part 1","Item Chemical container #2","1","22:34:40","N/A",
Bot182,"Ethan Swan",hard,37,Active,"The Key to Success","Item Clothes design handbook - Part 1","1","22:37:26","N/A",
