Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Сергей Гуськов",hard,32,Completed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","20:38:37","20:38:46",
Bot1,"Сергей Гуськов",hard,32,Failed,"Big Red","Big Red: Objective #3","1","20:38:51","20:40:23",
Bot2,"Иосиф Завьялов",hard,42,Completed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","20:38:38","20:38:47",
Bot2,"Иосиф Завьялов",hard,42,Failed,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","20:40:23","20:41:37",
Bot2,"Иосиф Завьялов",hard,42,Failed,"Storage","Storage: Objective #7","1","20:41:43","20:41:43",
Bot2,"Иосиф Завьялов",hard,42,Failed,"Storage","Storage: Objective #2","1","20:41:48","20:41:48",
Bot2,"Иосиф Завьялов",hard,42,Failed,"Storage","Storage: Objective #3","1","20:41:53","20:41:53",
Bot2,"Иосиф Завьялов",hard,42,Failed,"Storage","Storage: Objective #6","1","20:41:58","20:42:07",
Bot3,"Ярослав Анисимов",hard,11,Completed,"Trailer Park Cabin","Trailer Park Cabin: Objective #1","1","20:38:38","20:38:51",
Bot4,"Макей Володин",hard,49,Failed,"Big Red","Big Red: Objective #2","1","20:38:40","20:41:33",
Bot5,"Renaldo Sam",hard,33,Completed,"Fortress","Fortress: Objective #9","4","20:38:40","20:45:02",
Bot5,"Renaldo Sam",hard,33,Failed,"Fortress","Fortress: Objective #6","1","20:45:07","20:45:28",
Bot5,"Renaldo Sam",hard,33,Failed,"Fortress","Fortress: Objective #3","1","20:45:33","20:45:33",
Bot5,"Renaldo Sam",hard,33,Failed,"Fortress","Fortress: Objective #2","1","20:45:38","20:45:40",
Bot5,"Renaldo Sam",hard,33,Failed,"Fortress","Fortress: Objective #1","1","20:45:45","20:45:45",
Bot5,"Renaldo Sam",hard,33,Failed,"Fortress","Fortress: Objective #8","1","20:45:50","20:45:50",
Bot5,"Renaldo Sam",hard,33,Active,"Fortress","Fortress: Objective #4","1","20:45:55","N/A",
Bot6,"Nick Emery",hard,23,Pending,"RUAF Crossing Camping","RUAF Crossing Camping: Objective #1","2","20:38:41","N/A",
Bot16,"Мстислав Макарыч (Jeremiah)",normal,1,Pending,"Power Switch","Power Switch: Objective #1","1","20:39:55","N/A",
Bot21,"Zackary Spadafora",hard,6,Failed,"Crackhouse","Crackhouse: Objective #5","1","20:45:17","20:46:35",
Bot22,"Jeffery Clune",hard,36,Failed,"Crackhouse","Crackhouse: Objective #5","1","20:45:18","20:46:40",
Bot23,"Son Mota",hard,1,Active,"Fortress","Fortress: Objective #4","1","20:45:19","N/A",
