Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot4,"Антип Энтин",hard,44,Completed,"Scav Lands South Building","Scav Lands South Building: Objective #1","1","20:42:31","20:43:15",
Bot4,"Антип Энтин",hard,44,Failed,"Scav Lands South Building","Scav Lands South Building: Objective #2","1","20:43:21","20:43:35",
Bot4,"Антип Энтин",hard,44,Failed,"Black Bishop Underground","Black Bishop Underground: Objective #2","1","20:43:40","20:44:20",
Bot5,"Иосиф Шеломов",hard,11,Failed,"Black Bishop Underground","Black Bishop Underground: Objective #2","1","20:42:32","20:44:33",
Bot6,"Ali Larry",hard,42,Failed,"Black Bishop Tech Room","Black Bishop Tech Room: Objective #1","1","20:42:33","20:49:58",
Bot7,"Lonny Rines",hard,43,Failed,"D2 Switch","D2 Switch: Objective #1","1","20:42:34","20:51:05",
Bot8,"Damon Leung",hard,38,Failed,"Black Bishop","Black Bishop: Objective #5","1","20:42:35","20:51:34",
Bot9,"Elbert Macri",hard,37,Failed,"Black Bishop Underground","Black Bishop Underground: Objective #3","1","20:42:36","20:51:00",
Bot10,"Troy Kee",hard,37,Failed,"Command Center","Command Center: Objective #9","1","20:42:38","20:46:03",
Bot11,"Neal Treadwell",hard,27,Completed,"Dome Buildings","Dome Buildings: Objective #1","3","20:42:39","20:54:47",
Bot11,"Neal Treadwell",hard,27,Active,"Dome Buildings","Dome Buildings: Objective #2","1","20:54:52","N/A",
Bot12,"Raphael Millikin",hard,35,Failed,"Hermetic Door Switch","Hermetic Door Switch: Objective #1","1","20:42:40","20:46:20",
Bot12,"Raphael Millikin",hard,35,Completed,"Command Center","Command Center: Objective #2","1","20:46:22","20:48:11",
Bot12,"Raphael Millikin",hard,35,Failed,"Command Center","Command Center: Objective #1","1","20:48:16","20:53:01",
Bot13,"Платон Мрачный (Артём)",normal,1,Completed,"D2 Switch","D2 Switch: Objective #1","3","20:42:41","20:43:39",
Bot13,"Платон Мрачный (Артём)",normal,1,Failed,"White Bishop","White Bishop: Objective #1","1","20:43:44","20:44:23",
Bot15,"Арчи Борзый (Valentin)",normal,1,Pending,"Black Bishop Underground","Black Bishop Underground: Objective #6","1","20:42:42","N/A",
Bot25,"Димон ВДВ (Glen)",normal,1,Pending,"White King","White King: Objective #15","1","20:43:03","N/A",
Bot37,"Офицерский Перегар (Charles)",normal,1,Failed,"Hermetic Door Switch","Hermetic Door Switch: Objective #1","1","20:45:33","20:45:48",
Bot37,"Офицерский Перегар (Charles)",normal,1,Completed,"White King","White King: Objective #12","1","20:45:49","20:46:33",
Bot37,"Офицерский Перегар (Charles)",normal,1,Failed,"White King","White King: Objective #13","1","20:46:38","20:46:59",
Bot37,"Офицерский Перегар (Charles)",normal,1,Failed,"White King","White King: Objective #9","1","20:47:04","20:48:28",
Bot40,"Марк Дорофеев",hard,36,Failed,"White King","White King: Objective #10","1","20:48:37","20:53:19",
Bot42,"Емельян Фомичёв",hard,30,Failed,"Hermetic Door Switch","Hermetic Door Switch: Objective #1","1","20:48:43","20:52:50",
Bot46,"Cristobal Papineau",hard,35,Failed,"Knight Garages","Knight Garages: Objective #2","1","20:49:26","20:49:28",
Bot47,"Евгений Парамонов",hard,31,Failed,"White Pawn","White Pawn: Objective #6","1","20:49:30","20:52:01",
Bot48,"Владислав Андроников",hard,42,Failed,"White Rook","White Rook: Objective #2","1","20:52:36","20:54:35",
Bot49,"Архипп Седов",hard,39,Pending,"White Rook Barracks","White Rook Barracks: Objective #2","1","20:52:36","N/A",
Bot50,"Иван Паршин",hard,25,Completed,"White Bishop","White Bishop: Objective #1","1","20:52:38","20:54:00",
Bot50,"Иван Паршин",hard,25,Active,"White Bishop","White Bishop: Objective #9","1","20:54:06","N/A",
Bot51,"Сергей Кудрявцев",hard,41,Pending,"Command Center","Command Center: Objective #5","1","20:52:43","N/A",
Bot52,"Денис Шихранов",hard,57,Pending,"White King","White King: Objective #2","1","20:52:48","N/A",
Bot53,"Карл Сурков",hard,44,Failed,"White Rook Barracks","White Rook Barracks: Objective #2","1","20:52:53","20:52:59",
Bot53,"Карл Сурков",hard,44,Completed,"White Rook Barracks","White Rook Barracks: Objective #1","1","20:53:04","20:55:29",
Bot53,"Карл Сурков",hard,44,Active,"White Rook Barracks","White Rook Barracks: Objective #3","1","20:55:34","N/A",
Bot54,"Клим Веселовский",hard,44,Pending,"Black Bishop Tech Room","Black Bishop Tech Room: Objective #1","1","20:52:57","N/A",
Bot55,"Дмитрий Евтушенков",hard,62,Failed,"White Rook Barracks","White Rook Barracks: Objective #2","1","20:52:58","20:53:04",
Bot55,"Дмитрий Евтушенков",hard,62,Pending,"White Rook Barracks","White Rook Barracks: Objective #1","1","20:54:35","N/A",
Bot56,"Вантуз Фармацевт (Sheldon)",normal,1,Completed,"Black Bishop Underground","Black Bishop Underground: Objective #3","1","20:53:10","20:53:30",
Bot56,"Вантуз Фармацевт (Sheldon)",normal,1,Completed,"Black Bishop Underground","Black Bishop Underground: Objective #2","1","20:53:35","20:53:51",
Bot56,"Вантуз Фармацевт (Sheldon)",normal,1,Completed,"Black Bishop Underground","Black Bishop Underground: Objective #4","1","20:53:56","20:54:35",
Bot56,"Вантуз Фармацевт (Sheldon)",normal,1,Completed,"Black Bishop Underground","Black Bishop Underground: Objective #1","1","20:54:40","20:55:16",
Bot56,"Вантуз Фармацевт (Sheldon)",normal,1,Active,"Black Bishop Underground","Black Bishop Underground: Objective #6","1","20:55:21","N/A",
Bot58,"Emit Mcmillen",hard,35,Active,"D2 from Dome","D2 from Dome: Objective #3","1","20:55:19","N/A",
