Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Vito Macri",normal,30,Active,"Big Red","Big Red: Objective #2","1","22:57:17","N/A",
Bot2,"Reuben Houghton",normal,38,Pending,"Big Red Rush","Big Red Rush: Objective #1","1","22:57:18","N/A",
Bot3,"Rob Cordes",normal,37,Failed,"Trailer Park Cabin","Trailer Park Cabin: Objective #1","1","22:57:19","22:57:49",
Bot4,"Buddy Burchfield",normal,2,Pending,"Big Red","Big Red: Objective #2","1","22:57:20","N/A",
Bot5,"Courtney Kettner",normal,18,Pending,"The Extortionist","Zone dead_posylni","1","22:57:21","N/A",
